Table,F_dischrg_year,dischrg_year,F_reslos2,reslos2,Frequency,Percent,CumFrequency,CumPercent
Table dischrg_year * reslos2,2020,2020,0,0,12937,0.493279698,12937,0.493279698
Table dischrg_year * reslos2,2020,2020,1,1,48108,1.834327874,61045,2.327607572
Table dischrg_year * reslos2,2020,2020,2,2,43757,1.668426973,104802,3.996034545
Table dischrg_year * reslos2,2020,2020,3,3,44511,1.69717652,149313,5.693211065
Table dischrg_year * reslos2,2020,2020,4,4,46159,1.760013727,195472,7.453224792
Table dischrg_year * reslos2,2020,2020,5,5,53770,2.050216384,249242,9.503441176
Table dischrg_year * reslos2,2020,2020,6,6,48594,1.85285875,297836,11.35629993
Table dischrg_year * reslos2,2020,2020,7,7,55953,2.133452805,353789,13.48975273
Table dischrg_year * reslos2,2020,2020,8,8,54372,2.073170267,408161,15.562923
Table dischrg_year * reslos2,2020,2020,9,9,51847,1.9768936,460008,17.5398166
Table dischrg_year * reslos2,2020,2020,10,10,54360,2.072712714,514368,19.61252931
Table dischrg_year * reslos2,2020,2020,11,11,54848,2.091319848,569216,21.70384916
Table dischrg_year * reslos2,2020,2020,12,12,52915,2.01761577,622131,23.72146493
Table dischrg_year * reslos2,2020,2020,13,13,58240,2.220654681,680371,25.94211961
Table dischrg_year * reslos2,2020,2020,14,14,70120,2.673631632,750491,28.61575124
Table dischrg_year * reslos2,2020,2020,15,15,63782,2.431967666,814273,31.04771891
Table dischrg_year * reslos2,2020,2020,16,16,55267,2.107296056,869540,33.15501497
Table dischrg_year * reslos2,2020,2020,17,17,53984,2.05837607,923524,35.21339104
Table dischrg_year * reslos2,2020,2020,18,18,51504,1.963815225,975028,37.17720626
Table dischrg_year * reslos2,2020,2020,19,19,50427,1.92274989,1025455,39.09995615
Table dischrg_year * reslos2,2020,2020,20,20,75761,2.888719425,1101216,41.98867558
Table dischrg_year * reslos2,2020,2020,21,21,52574,2.004613654,1153790,43.99328923
Table dischrg_year * reslos2,2020,2020,22,22,44939,1.713495892,1198729,45.70678512
Table dischrg_year * reslos2,2020,2020,23,23,37790,1.440909004,1236519,47.14769413
Table dischrg_year * reslos2,2020,2020,24,24,35195,1.341963281,1271714,48.48965741
Table dischrg_year * reslos2,2020,2020,25,25,32859,1.252893066,1304573,49.74255047
Table dischrg_year * reslos2,2020,2020,26,26,30095,1.147503479,1334668,50.89005395
Table dischrg_year * reslos2,2020,2020,27,27,31464,1.199702591,1366132,52.08975654
Table dischrg_year * reslos2,2020,2020,28,28,35251,1.344098526,1401383,53.43385507
Table dischrg_year * reslos2,2020,2020,29,29,33615,1.281718872,1434998,54.71557394
Table dischrg_year * reslos2,2020,2020,30,30,29250,1.115284159,1464248,55.8308581
Table dischrg_year * reslos2,2020,2020,31,31,25575,0.975158714,1489823,56.80601682
Table dischrg_year * reslos2,2020,2020,32,32,22533,0.859169161,1512356,57.66518598
Table dischrg_year * reslos2,2020,2020,33,33,20677,0.788401045,1533033,58.45358702
Table dischrg_year * reslos2,2020,2020,34,34,21225,0.809295941,1554258,59.26288296
Table dischrg_year * reslos2,2020,2020,35,35,22844,0.871027396,1577102,60.13391036
Table dischrg_year * reslos2,2020,2020,36,36,21105,0.804720416,1598207,60.93863077
Table dischrg_year * reslos2,2020,2020,37,37,18279,0.696966808,1616486,61.63559758
Table dischrg_year * reslos2,2020,2020,38,38,17492,0.666958992,1633978,62.30255657
Table dischrg_year * reslos2,2020,2020,39,39,16184,0.617085772,1650162,62.91964235
Table dischrg_year * reslos2,2020,2020,40,40,15195,0.579375822,1665357,63.49901817
Table dischrg_year * reslos2,2020,2020,41,41,15625,0.595771453,1680982,64.09478962
Table dischrg_year * reslos2,2020,2020,42,42,16741,0.638323833,1697723,64.73311345
Table dischrg_year * reslos2,2020,2020,43,43,15320,0.584141994,1713043,65.31725545
Table dischrg_year * reslos2,2020,2020,44,44,13253,0.50532858,1726296,65.82258403
Table dischrg_year * reslos2,2020,2020,45,45,12465,0.475282634,1738761,66.29786666
Table dischrg_year * reslos2,2020,2020,46,46,11710,0.446494957,1750471,66.74436162
